customer_id,recency,frequency,monetary,tenure,length_of_stay,ticket_size,std_ticket_size,cv_ticket_size,avg_spend_m,avg_visit_m,avg_tte,std_tte,cv_tte,monetary_1y,frequency_1y,ticket_size_1y,std_ticket_size_1y,cv_ticket_size_1y,avg_tte_1y,std_tte_1y,cv_tte_1y,monetary_2y,frequency_2y,ticket_size_2y,std_ticket_size_2y,cv_ticket_size_2y,avg_tte_2y,std_tte_2y,cv_tte_2y,response
CS4690,110,15,905,1236,1126,60.333333333333336,18.282179717913706,0.3030195533355863,90.5,1.5,80.42857142857143,73.77378551065024,0.9172584344130581,348.0,5.0,69.6,20.255863348670182,0.2910325193774452,49.25,59.05576460713496,1.1991018194342122,628,10,62.8,20.054370540552444,0.3193371105183511,68.0,73.56289825720572,1.0818073273118487,0
CS5717,74,30,2068,1396,1322,68.93333333333334,22.184078374666218,0.3218193187814248,94.0,1.3636363636363635,45.58620689655172,45.16123277560975,0.9906775722334967,387.0,6.0,64.5,22.73103605205887,0.35241916359781195,52.0,49.040799340956916,0.9430922950184022,1150,16,71.875,19.97957290167468,0.27797666645808256,43.733333333333334,39.98833163144803,0.9143673391337201,1
CS5340,14,26,1873,1339,1325,72.03846153846153,23.84026974550543,0.33093807441705353,93.65,1.3,53.0,44.64862819841165,0.8424269471398425,500.0,7.0,71.42857142857143,25.237915542936207,0.35333081760110685,47.833333333333336,36.28452378999436,0.7585614729615545,887,12,73.91666666666667,24.29537304745806,0.32868599387767383,53.90909090909091,43.72517477484692,0.8110909317425229,0
CS2666,124,18,1321,1299,1175,73.38888888888889,22.85282551429753,0.31139353463842206,94.35714285714286,1.2857142857142858,69.11764705882354,59.77340791788307,0.8648067528544784,234.0,3.0,78.0,32.96968304366907,0.4226882441496035,119.0,108.89444430272832,0.9150793638884732,726,10,72.6,25.16258245004983,0.3465920447665266,64.33333333333333,62.48799884777877,0.9713160442659913,0
CS2532,48,14,1106,1302,1254,79.0,19.907478301073,0.2519933962161139,85.07692307692308,1.0769230769230769,96.46153846153847,58.48449279455108,0.6062985696404817,337.0,4.0,84.25,17.192537140670463,0.20406572273792836,88.66666666666667,43.15476026272575,0.48670782251194455,797,10,79.7,16.931561587100518,0.21244117424216458,75.77777777777777,42.564004093182355,0.5616950686783596,0
CS2084,21,18,1257,1356,1335,69.83333333333333,22.157856129041324,0.3172962691509498,83.8,1.2,78.52941176470588,64.33906049890963,0.8192988977389242,398.0,5.0,79.6,22.445489524623873,0.2819785116158778,83.75,78.048595972851,0.9319235340041911,663,9,73.66666666666667,22.781571499789038,0.30925210180709095,90.25,69.19485942921318,0.7667020435369881,0
CS7748,3,17,853,1217,1214,50.1764705882353,22.254873887863436,0.4435320704497988,65.61538461538461,1.3076923076923077,75.875,78.70016941955504,1.0372345228277435,118.0,3.0,39.333333333333336,18.610033136277146,0.473136435668063,87.5,61.518289963229634,0.7030661710083387,369,8,46.125,19.75881358497302,0.42837536227583783,91.57142857142857,78.7926755116598,0.8604504346047093,0
CS5712,54,23,1639,1380,1326,71.26086956521739,20.59394745882292,0.28899377153930883,86.26315789473684,1.2105263157894737,60.27272727272727,56.21148994406394,0.9326189885138814,313.0,5.0,62.6,16.80178561939177,0.268399131300188,56.0,51.85235449491823,0.9259349016949684,826,12,68.83333333333333,19.338296123746193,0.2809437693522449,58.90909090909091,61.92165137567723,1.051139143722916,0
CS5580,127,24,1703,1394,1267,70.95833333333333,22.662896638734665,0.31938315873730594,100.17647058823529,1.411764705882353,55.08695652173913,55.12045738321106,1.0006081450780224,501.0,8.0,62.625,23.862328350052397,0.38103518323436963,17.285714285714285,10.750415274370965,0.6219248505834444,1062,16,66.375,24.6600216274574,0.3715257495662132,38.0,41.622452732011986,1.0953277034739994,0
CS4975,117,11,777,1273,1156,70.63636363636364,22.186810168533587,0.3140989856549156,97.125,1.375,115.6,115.1300713685757,0.9959348734305857,328.0,5.0,65.6,25.115732121520963,0.38286177014513667,31.75,40.705241267761416,1.2820548430790997,541,8,67.625,22.765497076559896,0.3366432100045826,85.28571428571429,102.7321992459266,1.2045651502872463,0
CS7467,219,14,613,1359,1140,43.785714285714285,17.957979034095427,0.41013328952257094,51.083333333333336,1.1666666666666667,87.6923076923077,138.2711012319546,1.576775715802991,83.0,2.0,41.5,23.33452377915607,0.5622776814254474,83.0,0.0,0.0,392,9,43.55555555555556,16.68165992273484,0.38299729414442235,64.875,93.96266355769798,1.4483647561880229,0
CS4695,167,17,1237,1283,1116,72.76470588235294,21.457893104184027,0.29489424637924694,103.08333333333333,1.4166666666666667,69.75,64.41273166075166,0.9234800238100597,353.0,5.0,70.6,24.357750306627253,0.345010627572624,37.5,43.79117110407835,1.1677645627754227,576,9,64.0,19.887181801351343,0.31073721564611473,58.25,63.01417074187134,1.0817883389162462,0
CS8407,29,15,801,1301,1272,53.4,23.362974370327326,0.43750888333946303,61.61538461538461,1.1538461538461537,90.85714285714286,79.81599718473363,0.8784779564357474,368.0,7.0,52.57142857142857,25.689538356155428,0.488659696992087,56.833333333333336,60.10130336911727,1.0575009390460517,390,8,48.75,26.124700955226263,0.5358913016456669,80.85714285714286,83.9651288163298,1.0384379888945383,0
CS2314,55,16,982,1333,1278,61.375,19.43150363027353,0.31660291047288847,70.14285714285714,1.1428571428571428,85.2,97.32654901339689,1.142330387481184,407.0,7.0,58.142857142857146,14.17072770924358,0.24372258959386991,49.833333333333336,48.06003190455315,0.9644153559442104,458,8,57.25,13.360389215887388,0.23336924394563122,96.14285714285714,130.14149808500562,1.353626280230371,0
CS4082,4,22,1611,1396,1392,73.22727272727273,18.21546129811239,0.2487524199618079,89.5,1.2222222222222223,66.28571428571429,79.0608264927346,1.1927279858817719,525.0,7.0,75.0,22.6642155537461,0.3021895407166147,62.333333333333336,70.30410135025315,1.1278732836939007,847,12,70.58333333333333,22.03079800202572,0.312124647018074,57.45454545454545,57.88326811154263,1.0074619449793811,0
CS4849,8,25,1850,1318,1310,74.0,20.465417985795778,0.27655970251075374,102.77777777777777,1.3888888888888888,54.583333333333336,62.907742432637136,1.1525082583078559,566.0,8.0,70.75,19.447732148358217,0.2748796063372186,47.42857142857143,57.52928860692654,1.2129669284592943,813,12,67.75,21.041625412500814,0.31057749686348063,61.45454545454545,60.77394776771316,0.988925185569297,0
